,cluster,week,day,hour,minute,wk_ago,day_ago,target
1193,0,34,3,12,50,20,10,0
1194,0,34,3,13,0,20,10,10
1195,0,34,3,13,10,10,20,10
1196,0,34,3,13,20,10,10,10
1197,0,34,3,13,30,20,10,10
1198,0,34,3,13,40,10,50,10
1199,0,34,3,13,50,10,20,10
1200,0,34,3,14,0,20,30,10
1201,0,34,3,14,10,20,50,20
1202,0,34,3,14,20,20,20,20
1203,0,34,3,14,30,20,20,20
1204,0,34,3,14,40,60,20,10
1205,0,34,3,14,50,20,30,30
1206,0,34,3,15,0,20,30,20
1207,0,34,3,15,10,10,20,20
1208,0,34,3,15,20,20,20,30
1209,0,34,3,15,30,30,10,30
1210,0,34,3,15,40,50,10,30
1211,0,34,3,15,50,50,0,50
1212,0,34,3,16,0,30,0,20
1213,0,34,3,16,10,20,10,20
1214,0,34,3,16,20,10,20,20
1215,0,34,3,16,30,30,20,10
1216,0,34,3,16,40,30,30,20
1217,0,34,3,16,50,20,20,10
1320,0,34,4,10,0,10,30,20
1321,0,34,4,10,10,10,10,20
1322,0,34,4,10,20,20,20,10
1323,0,34,4,10,30,0,30,10
1324,0,34,4,10,40,0,30,20
1325,0,34,4,10,50,0,30,20
1326,0,34,4,11,0,0,20,30
1327,0,34,4,11,10,0,0,30
1328,0,34,4,11,20,10,20,20
1329,0,34,4,11,30,10,30,30
1330,0,34,4,11,40,20,10,30
1331,0,34,4,11,50,20,50,50
1332,0,34,4,12,0,30,20,20
1333,0,34,4,12,10,0,20,10
1334,0,34,4,12,20,20,20,20
1335,0,34,4,12,30,10,10,10
1336,0,34,4,12,40,10,0,20
1337,0,34,4,12,50,10,0,30
1338,0,34,4,13,0,0,10,20
1339,0,34,4,13,10,10,10,10
1340,0,34,4,13,20,20,10,10
1341,0,34,4,13,30,20,10,30
1342,0,34,4,13,40,30,10,50
1343,0,34,4,13,50,30,10,30
1344,0,34,4,14,0,30,10,10
1345,0,34,4,14,10,30,20,20
1346,0,34,4,14,20,20,20,10
1347,0,34,4,14,30,10,20,30
1348,0,34,4,14,40,10,10,30
1349,0,34,4,14,50,30,30,30
1350,0,34,4,15,0,30,20,30
1351,0,34,4,15,10,30,20,10
1352,0,34,4,15,20,30,30,20
1353,0,34,4,15,30,10,30,20
1354,0,34,4,15,40,10,30,30
1355,0,34,4,15,50,10,50,20
1356,0,34,4,16,0,10,20,50
1357,0,34,4,16,10,10,20,30
1358,0,34,4,16,20,20,20,20
1359,0,34,4,16,30,10,10,10
1360,0,34,4,16,40,10,20,10
1361,0,34,4,16,50,10,10,10
1752,0,35,0,10,0,50,40,30
1753,0,35,0,10,10,30,30,30
1754,0,35,0,10,20,100,30,50
1755,0,35,0,10,30,50,30,30
1756,0,35,0,10,40,30,10,30
1757,0,35,0,10,50,60,50,30
1758,0,35,0,11,0,60,40,30
1759,0,35,0,11,10,70,60,50
1760,0,35,0,11,20,100,50,20
1761,0,35,0,11,30,60,50,20
1762,0,35,0,11,40,50,50,20
1763,0,35,0,11,50,50,20,20
1764,0,35,0,12,0,50,50,10
1765,0,35,0,12,10,20,50,20
1766,0,35,0,12,20,40,10,20
1767,0,35,0,12,30,20,10,10
1768,0,35,0,12,40,50,10,20
1769,0,35,0,12,50,30,10,20
1770,0,35,0,13,0,50,20,30
1771,0,35,0,13,10,50,20,20
1772,0,35,0,13,20,50,50,30
1773,0,35,0,13,30,50,30,30
1774,0,35,0,13,40,80,50,20
1775,0,35,0,13,50,80,50,10
1776,0,35,0,14,0,80,50,0
1777,0,35,0,14,10,80,0,0
1778,0,35,0,15,10,30,30,30
1779,0,35,0,15,20,20,30,30
1780,0,35,0,15,30,30,30,30
1781,0,35,0,15,40,30,30,50
1782,0,35,0,15,50,20,50,10
1783,0,35,0,16,0,30,30,30
1784,0,35,0,16,10,40,70,30
1785,0,35,0,16,20,20,60,50
1786,0,35,0,16,30,10,70,30
1787,0,35,0,16,40,20,30,30
1788,0,35,0,16,50,0,30,30
1891,0,35,1,10,0,70,30,50
1892,0,35,1,10,10,50,30,20
1893,0,35,1,10,20,50,50,30
1894,0,35,1,10,30,50,30,30
1895,0,35,1,10,40,60,30,20
1896,0,35,1,10,50,70,30,30
1897,0,35,1,11,0,50,30,20
1898,0,35,1,11,10,20,50,10
1899,0,35,1,11,20,30,20,30
1900,0,35,1,11,30,30,20,30
1901,0,35,1,11,40,20,20,30
1902,0,35,1,11,50,20,20,50
1903,0,35,1,12,0,10,10,20
1904,0,35,1,12,10,10,20,20
1905,0,35,1,12,20,30,20,20
1906,0,35,1,12,30,30,10,10
1907,0,35,1,12,40,30,20,10
1908,0,35,1,12,50,60,20,20
1909,0,35,1,13,0,20,30,20
1910,0,35,1,13,10,20,20,10
1911,0,35,1,13,20,20,30,10
1912,0,35,1,13,30,20,30,20
1913,0,35,1,13,40,20,20,30
1914,0,35,1,13,50,10,10,20
1915,0,35,1,14,0,20,0,20
1916,0,35,1,14,10,20,0,30
1917,0,35,1,14,20,20,10,30
1918,0,35,1,14,30,30,20,30
1919,0,35,1,14,40,50,20,50
1920,0,35,1,14,50,50,20,30
1921,0,35,1,15,0,20,20,10
1922,0,35,1,15,10,60,30,10
1923,0,35,1,15,20,70,30,30
1924,0,35,1,15,30,70,30,20
1925,0,35,1,15,40,60,50,20
1926,0,35,1,15,50,50,10,0
1927,0,35,1,16,0,60,30,50
1928,0,35,1,16,10,70,30,30
1929,0,35,1,16,20,50,50,30
1930,0,35,1,16,30,50,30,30
1931,0,35,1,16,40,50,30,30
1932,0,35,1,16,50,50,30,10
2032,0,35,2,10,0,20,50,20
2033,0,35,2,10,10,10,20,30
2034,0,35,2,10,20,20,30,30
2035,0,35,2,10,30,10,30,50
2036,0,35,2,10,40,10,20,30
2037,0,35,2,10,50,20,30,20
2038,0,35,2,11,0,10,20,30
2039,0,35,2,11,10,20,10,30
2040,0,35,2,11,20,10,30,30
2041,0,35,2,11,30,20,30,30
2042,0,35,2,11,40,10,30,30
2043,0,35,2,11,50,10,50,20
2044,0,35,2,12,0,10,20,30
2045,0,35,2,12,10,10,20,20
2046,0,35,2,12,20,20,20,10
2047,0,35,2,12,30,20,10,10
2048,0,35,2,12,40,20,10,10
2049,0,35,2,12,50,10,20,10
2050,0,35,2,13,0,10,20,10
2051,0,35,2,13,10,20,10,10
2052,0,35,2,13,20,10,10,10
2053,0,35,2,13,30,10,20,20
2054,0,35,2,13,40,50,30,20
2055,0,35,2,13,50,20,20,20
2056,0,35,2,14,0,30,20,70
2057,0,35,2,14,10,50,30,30
2058,0,35,2,14,20,20,30,20
2059,0,35,2,14,30,20,30,20
2060,0,35,2,14,40,20,50,30
2061,0,35,2,14,50,30,30,30
2062,0,35,2,15,0,30,10,30
2063,0,35,2,15,10,20,10,30
2064,0,35,2,15,20,20,30,30
2065,0,35,2,15,30,10,20,30
2066,0,35,2,15,40,10,20,30
2067,0,35,2,15,50,0,0,20
2068,0,35,2,16,0,0,50,20
2069,0,35,2,16,10,10,30,20
2070,0,35,2,16,20,20,30,20
2071,0,35,2,16,30,20,30,30
2072,0,35,2,16,40,30,30,30
2073,0,35,2,16,50,20,10,50
2176,0,35,3,10,0,30,20,10
2177,0,35,3,10,10,10,30,10
2178,0,35,3,10,20,20,30,20
2179,0,35,3,10,30,30,50,30
2180,0,35,3,10,40,30,30,20
2181,0,35,3,10,50,30,20,30
2182,0,35,3,11,0,20,30,20
2183,0,35,3,11,10,0,30,20
2184,0,35,3,11,20,20,30,20
2185,0,35,3,11,30,30,30,50
2186,0,35,3,11,40,10,30,60
2187,0,35,3,11,50,50,20,60
2188,0,35,3,12,0,20,30,30
2189,0,35,3,12,10,20,20,30
2190,0,35,3,12,20,20,10,10
2191,0,35,3,12,30,10,10,30
2192,0,35,3,12,40,0,10,30
2193,0,35,3,12,50,0,10,20
2194,0,35,3,13,0,10,10,30
2195,0,35,3,13,10,10,10,30
2196,0,35,3,13,20,10,10,10
2197,0,35,3,13,30,10,20,30
2198,0,35,3,13,40,10,20,20
2199,0,35,3,13,50,10,20,20
2200,0,35,3,14,0,10,70,30
2201,0,35,3,14,10,20,30,20
2202,0,35,3,14,20,20,20,20
2203,0,35,3,14,30,20,20,30
2204,0,35,3,14,40,10,30,30
2205,0,35,3,14,50,30,30,20
2206,0,35,3,15,0,20,30,50
2207,0,35,3,15,10,20,30,30
2208,0,35,3,15,20,30,30,30
2209,0,35,3,15,30,30,30,20
2210,0,35,3,15,40,30,30,20
2211,0,35,3,15,50,50,20,30
2212,0,35,3,16,0,20,20,10
2213,0,35,3,16,10,20,20,30
2214,0,35,3,16,20,20,20,20
2215,0,35,3,16,30,10,30,20
2216,0,35,3,16,40,20,30,10
2217,0,35,3,16,50,10,50,30
2320,0,35,4,10,0,20,10,40
2321,0,35,4,10,10,20,10,30
2322,0,35,4,10,20,10,20,30
2323,0,35,4,10,30,10,30,30
2324,0,35,4,10,40,20,20,10
2325,0,35,4,10,50,20,30,50
2326,0,35,4,11,0,30,20,40
2327,0,35,4,11,10,30,20,60
2328,0,35,4,11,20,20,20,50
2329,0,35,4,11,30,30,50,50
2330,0,35,4,11,40,30,60,50
2331,0,35,4,11,50,50,60,20
2332,0,35,4,12,0,20,30,50
2333,0,35,4,12,10,10,30,50
2334,0,35,4,12,20,20,10,10
2335,0,35,4,12,30,10,30,10
2336,0,35,4,12,40,20,30,10
2337,0,35,4,12,50,30,20,10
2338,0,35,4,13,0,20,30,20
2339,0,35,4,13,10,10,30,20
2340,0,35,4,13,20,10,10,50
2341,0,35,4,13,30,30,30,30
2342,0,35,4,13,40,50,20,50
2343,0,35,4,13,50,30,20,50
2344,0,35,4,14,0,10,30,50
2345,0,35,4,14,10,20,20,0
2346,0,35,4,15,10,10,30,30
2347,0,35,4,15,20,20,30,30
2348,0,35,4,15,30,20,20,30
2349,0,35,4,15,40,30,20,30
2350,0,35,4,15,50,20,30,50
2351,0,35,4,16,0,50,10,30
2352,0,35,4,16,10,30,30,70
2353,0,35,4,16,20,20,20,60
2354,0,35,4,16,30,10,20,70
2355,0,35,4,16,40,10,10,30
2356,0,35,4,16,50,10,30,30
2682,0,38,2,15,50,10,20,10
2683,0,38,2,16,0,10,10,20
2684,0,38,2,16,10,10,10,20
2685,0,38,2,16,20,20,10,10
2686,0,38,2,16,30,20,10,20
2687,0,38,2,16,40,20,10,20
2688,0,38,2,16,50,0,20,30
2791,0,38,3,10,0,20,30,10
2792,0,38,3,10,10,30,20,10
2793,0,38,3,10,20,20,20,20
2794,0,38,3,10,30,20,30,20
2795,0,38,3,10,40,30,30,20
2796,0,38,3,10,50,30,50,30
